# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	18219
#@/user_id	36911b7b-e7c1-441a-b6ce-954133c0c2c7
a 	啊	c=52 d=1.0149 t=17937
shang yi ji de 	上一集的	c=1 d=1 t=2342
shao 	少	c=0 d=0.1 t=14365
shao ge zhi 	燒個紙	c=1 d=1 t=11257
shao he dian jiu 	少喝點酒	c=1 d=1 t=2868
shao kao 	燒烤	c=6 d=2.52684 t=14970
shao le 	少了	c=1 d=1 t=14225
shao nian 	少年	c=0 d=0.1 t=12105
shao yi kuai 	少一塊	c=1 d=1 t=10120
shao zou wan lu 	少走彎路	c=1 d=1 t=11460
she 	設	c=2 d=1 t=15366
she bei 	設備	c=2 d=1 t=9282
she chu lai 	射出來	c=0 d=0.1 t=11367
she gong 	社工	c=1 d=1 t=15698
she hui 	社會	c=1 d=1 t=10360
she ji 	涉及	c=1 d=1 t=6130
she ji 	設計	c=22 d=1.00325 t=17723
she ji yan se fan wei 	設計顏色範圍	c=1 d=1 t=275
she ji zuo pin 	設計作品	c=1 d=1 t=11574
she jia 	蛇侠	c=1 d=1 t=1923
she jian 	射箭	c=1 d=0.574734 t=15445
she jiao 	社交	c=2 d=1.96079 t=9440
she kong le 	社恐了	c=1 d=1 t=16732
she xiang tou 	攝像頭	c=2 d=1 t=16507
she yi 	涉疑	c=1 d=1 t=3992
she ying 	攝影	c=2 d=1 t=11626
she ying yuan pian 	攝影原片	c=1 d=1 t=3994
she you 	舍友	c=1 d=0.1 t=13115
she yu cha 	舎予茶	c=1 d=1 t=16695
she zhi 	設置	c=12 d=1.99501 t=16004
shen ao 	深奧	c=0 d=0.1 t=3823
shen bian 	身邊	c=1 d=1 t=14462
shen cha 	審查	c=1 d=1 t=7031
shen me 	什麼	c=36 d=2.72426 t=17094
shen me shi qing 	什麼事情	c=1 d=1 t=18151
shen mei 	審美	c=1 d=1 t=13237
shen pang 	身旁	c=1 d=1 t=2622
shen qi 	神器	c=1 d=1 t=7472
shen qi 	神奇	c=0 d=0.1 t=2545
shen qing 	申請	c=4 d=2.8466 t=16087
shen qing shu 	申請書	c=2 d=1.93707 t=14305
shen shi 	紳士	c=0 d=0.1 t=7385
shen tou 	滲透	c=3 d=1.28538 t=17542
shen tou ce shi 	滲透測試	c=3 d=1.16122 t=16303
sheng 	生	c=2 d=1.00721 t=16554
sheng chan li 	生產力	c=2 d=1.9802 t=7475
sheng cheng 	生成	c=22 d=1.82741 t=17244
sheng cheng de 	生成的	c=1 d=1 t=56
sheng cheng mo shi 	生成模式	c=1 d=1 t=198
sheng feng sheng shi 	生逢盛世	c=1 d=1 t=16029
sheng huo 	生活	c=8 d=1.08186 t=15969
sheng ji 	省級	c=2 d=1.90484 t=8598
sheng ming 	生命	c=1 d=1 t=1718
sheng qi le 	升起了	c=1 d=1 t=13932
sheng qi le 	生氣了	c=1 d=1 t=13933
sheng qian 	省錢	c=1 d=1 t=652
sheng ri 	生日	c=4 d=1 t=15318
sheng ri li wu 	生日禮物	c=0 d=0.1 t=2362
sheng sai 	省賽	c=2 d=1.89583 t=8595
sheng sheng shi shi 	生生世世	c=0 d=0.785691 t=1032
sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi san shi sui 	生生世世生生世世生生世世生生世世三十歲	c=1 d=1 t=1033
sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi san shi sui 	生生世世生生世世生生世世生生世世生生世世生生世世生生世世三十歲	c=1 d=1 t=1030
sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi shi 	生生世世生生世世生生世世生生世世生生世世生生世世生生世世生生世世生生世世是	c=1 d=1 t=1029
sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi shi 	生生世世生生世世生生世世生生世世生生世世生生世世生生世世是	c=1 d=1 t=1032
sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi shi 	生生世世生生世世生生世世生生世世生生世世生生世世是	c=1 d=1 t=1031
sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi shi sha 	生生世世生生世世生生世世生生世世生生世世生生世世是啥	c=1 d=1 t=1027
sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi sheng sheng shi shi shi sha 	生生世世生生世世生生世世生生世世生生世世是啥	c=1 d=1 t=1028
sheng shi 	盛世	c=0 d=0.1 t=16028
sheng suan 	勝算	c=1 d=1 t=14091
sheng xia 	剩下	c=1 d=1 t=18185
sheng yin 	聲音	c=2 d=1 t=15131
shi 	事	c=2 d=1 t=15211
shi 	使	c=0 d=0.1 t=5862
shi 	師	c=1 d=1 t=10168
shi 	式	c=1 d=1 t=6186
shi 	是	c=136 d=2.94748 t=18143
shi 	時	c=11 d=3.25705 t=17947
shi 	試	c=1 d=0.1 t=5232
shi ba 	是吧	c=1 d=1 t=5416
shi bai 	失敗	c=7 d=1.99005 t=17549
shi bai le 	失敗了	c=1 d=1 t=18097
shi bai wei 	失敗爲	c=2 d=1.94649 t=3622
shi bao lu 	是暴露	c=1 d=1 t=5685
shi bei 	是被	c=1 d=1 t=17368
shi bi xu 	是必須	c=1 d=1 t=6164
shi bian 	試邊	c=1 d=1 t=12305
shi bu 	是不	c=0 d=0.1 t=5693
shi bu ke jian 	是不可見	c=1 d=1 t=5694
shi bu neng 	是不能	c=1 d=1 t=4039
shi bu shi 	是不是	c=1 d=1 t=1584
shi can 	实参	c=1 d=1 t=5993
shi cha 	時差	c=1 d=1 t=6699
shi chang 	時長	c=8 d=1.00381 t=8219
shi cheng xu 	使程序	c=1 d=1 t=5863
shi chuang 	視窗	c=1 d=1 t=7980
shi cuo 	是錯	c=0 d=0.1 t=13211
shi cuo de 	是錯的	c=1 d=1 t=13212
shi dai you 	是帶有	c=1 d=1 t=4194
shi de 	似地	c=1 d=1 t=9139
shi de 	使得	c=2 d=0.608272 t=5929
shi de sa dan 	是的撒旦	c=1 d=1 t=1352
shi duan 	時段	c=1 d=1 t=7226
shi dui 	是對	c=1 d=1 t=16419
shi duo zao 	是多早	c=1 d=1 t=864
shi er 	事兒	c=1 d=0.113982 t=15157
shi fan 	師範	c=8 d=1.01485 t=15585
shi fang 	釋放	c=1 d=1 t=13034
shi fou 	是否	c=9 d=2.86787 t=11819
shi fou cun zai 	是否存在	c=1 d=1 t=3714
shi ge 	十個	c=1 d=1 t=13175
shi ge 	是個	c=3 d=1 t=16940
shi gen ju 	是根據	c=1 d=1 t=6780
shi gong ju 	是工具	c=1 d=1 t=2890
shi guang 	時光	c=1 d=1 t=9542
shi hou 	時候	c=32 d=1.04651 t=18128
shi hou ba 	時候吧	c=1 d=1 t=8019
shi hua 	石化	c=1 d=1 t=9458
shi ji 	實際	c=2 d=1 t=4756
shi ji qiao 	是技巧	c=1 d=1 t=15406
shi jia 	世嘉	c=0 d=0.1 t=3761
shi jia you xi 	世嘉遊戲	c=1 d=1 t=3762
shi jian 	事件	c=1 d=1 t=15288
shi jian 	實踐	c=1 d=1 t=5827
shi jian 	時間	c=58 d=1.28393 t=16753
shi jian dai jia 	時間代價	c=1 d=1 t=6138
shi jian fu za du 	時間複雜度	c=2 d=1 t=7664
shi jian le 	時間了	c=1 d=1 t=10677
shi jian liang du 	時間量度	c=1 d=1 t=4800
shi jian pian duan 	時間片段	c=1 d=1 t=6834
shi jian shi xian shun xu 	時間實現順序	c=1 d=1 t=5550
shi jian shu 	試簡述	c=1 d=1 t=5233
shi jian tong ji 	時間統計	c=1 d=1 t=6843
shi jian zhou 	時間軸	c=1 d=1 t=6829
shi jie 	世界	c=1 d=1 t=13510
shi jie de 	世界的	c=1 d=1 t=13772
shi jin 	十斤	c=0 d=0.1 t=9173
shi ju you 	是具有	c=1 d=1 t=6280
shi jue 	視覺	c=3 d=1 t=11604
shi ke jian 	是可見	c=1 d=1 t=5683
shi ke yi 	是可以	c=2 d=1.93239 t=1131
shi kong zhi 	是控制	c=1 d=1 t=5636
shi le 	試了	c=0 d=0.1 t=3315
shi le shi 	試了試	c=1 d=1 t=12256
shi li 	失利	c=1 d=1 t=17016
shi li 	實例	c=2 d=1.97531 t=13033
shi li 	示例	c=1 d=1 t=4977
shi lian 	失戀	c=2 d=0.470468 t=12663
shi lian me 	失戀麼	c=1 d=1 t=12664
shi liu 	十六	c=1 d=1 t=11726
shi luo ji jie gou 	是逻辑结构	c=2 d=1.00021 t=6078
shi me 	是麼	c=4 d=1 t=12361
shi mei 	是美	c=0 d=0.1 t=18104
shi mei wen ti 	是沒問題	c=1 d=1 t=8240
shi mei you 	是沒有	c=1 d=1 t=427
shi mian mai fu 	十面埋伏	c=1 d=1 t=15522
shi ming zhong 	是命中	c=1 d=1 t=6495
shi na 	是吶	c=1 d=1 t=11555
shi nan hai zi 	是男孩子	c=1 d=1 t=1766
shi pin 	視頻	c=25 d=1.00669 t=16247
shi pin 	飾品	c=4 d=1.85214 t=13266
shi pin zong shi chang 	視頻總時長	c=1 d=1 t=3667
shi qing 	事情	c=15 d=1.00308 t=17132
shi qing ba 	事情吧	c=1 d=1 t=13223
shi qing le 	事情了	c=2 d=1.00017 t=15663
shi qing me 	事情麼	c=1 d=1 t=14863
shi qiu 	試求	c=2 d=1.83527 t=10617
shi sha 	是啥	c=3 d=1 t=18109
shi shang 	時尚	c=1 d=1 t=13191
shi she 	施捨	c=0 d=0.1 t=9743
shi she gei wo dian 	施捨給我點	c=1 d=1 t=9744
shi shen me 	是什麼	c=4 d=1 t=11244
shi shi 	實施	c=0 d=0.1 t=13434
shi shi 	實時	c=4 d=1.02388 t=3023
shi shi 	試試	c=7 d=1.08617 t=18101
shi shi ba 	試試吧	c=0 d=0.1 t=8539
shi shi bei 	試試唄	c=1 d=1 t=1524
shi shi fang fa 	實施方法	c=1 d=1 t=13435
shi shi yong 	是使用	c=1 d=1 t=2407
shi shou 	是受	c=0 d=0.1 t=6545
shi shu ju ku 	是數據庫	c=1 d=1 t=13496
shi shui 	是誰	c=1 d=1 t=8536
shi ta 	是她	c=1 d=1 t=6545
shi tai 	時態	c=1 d=1 t=15428
shi tang 	食堂	c=1 d=1 t=9544
shi ti 	實體	c=6 d=1 t=16345
shi ti 	屍體	c=0 d=0.184789 t=137
shi ti hai na me 	屍體還那麼	c=1 d=1 t=105
shi ti le 	屍體了	c=1 d=1 t=138
shi ting wan 	是挺晚	c=1 d=1 t=955
shi tou 	石頭	c=3 d=2.34462 t=12342
shi tou le 	石頭了	c=1 d=1 t=12236
shi tou ming 	是透明	c=1 d=1 t=5696
shi wei 	是爲	c=2 d=1.00169 t=5805
shi wei jie jue 	是爲解決	c=1 d=1 t=4581
shi wo 	是我	c=4 d=1 t=12531
shi wo ai de 	是我愛的	c=1 d=1 t=10367
shi wu 	事物	c=1 d=1 t=13773
shi wu 	失誤	c=1 d=1 t=5327
shi wu 	食物	c=1 d=1 t=9265
shi wu guan li 	事務管理	c=1 d=1 t=13419
shi xi 	實習	c=1 d=1 t=16801
shi xian 	事先	c=0 d=0.1 t=626
shi xian 	實現	c=36 d=1.00083 t=17858
shi xian le 	實現了	c=1 d=1 t=1896
shi xiang 	事項	c=5 d=1.00827 t=11945
shi xiao 	失效	c=1 d=1 t=1087
shi xiao xing 	時效性	c=1 d=1 t=5569
shi xu 	時序	c=1 d=1 t=5481
shi yan 	實驗	c=1 d=1.09851 t=5211
shi yan 	時延	c=5 d=2.06905 t=5593
shi yan er 	實驗二	c=1 d=1 t=5209
shi yan lou 	实验楼	c=1 d=1.00119 t=4131
shi yan shi 	實驗室	c=1 d=1 t=10776
shi ye zi 	是葉子	c=1 d=1 t=8124
shi yi ge 	十一個	c=1 d=1 t=2155
shi yi ge 	是一個	c=3 d=1.00391 t=17382
shi yi xia 	試一下	c=1 d=1 t=475
shi yi zhong 	是一種	c=1 d=1 t=16319
shi ying 	屎瑩	c=2 d=1.24293 t=10824
shi ying 	適應	c=2 d=1 t=14252
shi yong 	使用	c=71 d=1.90412 t=18137
shi yong 	試用	c=1 d=1 t=6852
shi yong bu tong 	使用不同	c=1 d=1 t=1138
shi yong de 	實用的	c=1 d=1 t=17865
shi yong di gui 	使用遞歸	c=1 d=1 t=14947
shi yong fang fa 	使用方法	c=1 d=1 t=7863
shi yong le 	使用了	c=1 d=1 t=17327
shi you 	室友	c=3 d=0.1 t=13270
shi you 	是有	c=2 d=1 t=11591
shi yue ge ming 	十月革命	c=1 d=1 t=3995
shi zai 	是在	c=2 d=1 t=10907
shi zai bu xing 	是再不行	c=1 d=1 t=6333
shi zen me 	是怎麼	c=2 d=1 t=10290
shi zhen de 	是真的	c=1 d=1 t=13199
shi zhi 	是指	c=2 d=1.00077 t=6175
shi zhong 	時鐘	c=0 d=0.1 t=16247
shou 	受	c=3 d=1 t=16846
shou 	收	c=4 d=0.100128 t=13021
shou 	首	c=0 d=0.1 t=7739
shou bian 	手邊	c=1 d=1 t=5710
shou biao 	手錶	c=1 d=1 t=9409
shou cang 	收藏	c=3 d=1.04331 t=1069
shou chao 	手抄	c=1 d=1 t=8334
shou dao 	收到	c=2 d=1 t=17684
shou de 	熟的	c=1 d=1 t=419
shou dong 	手動	c=2 d=1.11475 t=7271
shou er 	獸耳	c=1 d=1 t=5207
shou hui 	手繪	c=0 d=0.1 t=14713
shou hui dui xiang 	手繪對象	c=1 d=1 t=14714
shou ji 	手機	c=8 d=1 t=18032
shou ji 	收集	c=1 d=1 t=16042
shou le 	瘦了	c=1 d=1 t=1740
shou lian 	手鍊	c=1 d=1 t=9410
shou ru 	收入	c=2 d=0.905149 t=10874
shou ru lei bie 	收入類別	c=1 d=1 t=10875
shou shi 	收拾	c=2 d=1 t=5741
shou shi dong xi 	收拾東西	c=1 d=1 t=2253
shou shi hao 	收拾好	c=0 d=0.1 t=2220
shou shi hao le 	收拾好了	c=1 d=1 t=2221
shou tao 	手套	c=1 d=1 t=9239
shou xian 	受限	c=2 d=1.9802 t=3917
shou xie 	手寫	c=2 d=1 t=16057
shou ye 	首頁	c=1 d=1 t=7972
shou yi 	手藝	c=1 d=1 t=11744
shou yi xia 	收一下	c=1 d=1 t=13022
shou you 	手遊	c=1 d=1 t=2417
shou yuan su 	首元素	c=1 d=1 t=7740
shou zhi 	收支	c=5 d=1.92803 t=10816
shu 	叔	c=1 d=1 t=15590
shu 	數	c=2 d=0.1 t=11030
shu 	書	c=2 d=0.100053 t=15551
shu 	樹	c=4 d=1 t=17755
shu bao 	書包	c=0 d=0.1 t=13802
shu ben 	書本	c=1 d=1 t=9324
shu biao 	鼠標	c=4 d=1 t=13107
shu biao dian 	鼠標墊	c=1 d=1 t=7493
shu chu 	輸出	c=15 d=1.07926 t=14608
shu dian 	書店	c=4 d=1 t=9388
shu jia 	暑假	c=1 d=1 t=18213
shu jia 	書架	c=1 d=1 t=11896
shu ju 	數據	c=145 d=7.88041 t=17835
shu ju bao 	數據包	c=7 d=5.94538 t=5365
shu ju chou xiang 	数据抽象	c=1 d=1 t=6103
shu ju dui xiang 	數據對象	c=6 d=1 t=7767
shu ju jie gou 	數據結構	c=22 d=1 t=12999
shu ju ke 	數據可	c=1 d=1 t=14859
shu ju ku 	數據庫	c=21 d=1.00612 t=15910
shu ju ku xi tong 	数据库系统	c=1 d=1 t=13358
shu ju ku yuan li 	數據庫原理	c=3 d=1.00003 t=13261
shu ju lei xing 	數據類型	c=4 d=1.99281 t=6102
shu ju liang 	數據量	c=1 d=1 t=5252
shu ju mo xing 	数据模型	c=1 d=1 t=13762
shu ju tong 	數據通	c=1 d=1 t=13463
shu ju yuan su 	數據元素	c=13 d=3.52372 t=7791
shu ju yuan su zhi jian de 	數據元素之間的	c=1 d=1 t=4441
shu ju yuan zi 	數據源自	c=1 d=1 t=13776
shu ju zhi qian 	數據之前	c=1 d=1 t=5265
shu ju zu 	数据组	c=1 d=1 t=5275
shu li mian 	書裏面	c=1 d=1 t=12940
shu ma 	數碼	c=1 d=1 t=6743
shu mei 	數媒	c=4 d=1 t=14186
shu mu 	數目	c=1 d=1 t=4818
shu ru 	輸入	c=26 d=2.90009 t=17777
shu ru de 	輸入的	c=2 d=1.86071 t=17786
shu ru fa 	輸入法	c=1 d=1 t=7479
shu ru kuang 	輸入框	c=2 d=1.85642 t=1371
shu shi 	屬實	c=2 d=1 t=9822
shu xing 	屬性	c=1 d=1 t=2494
shu xing 	樹形	c=1 d=1 t=4350
shu xue 	數學	c=7 d=1.0002 t=16500
shu xue me 	數學麼	c=1 d=1 t=14662
shu xue zhong 	數學中	c=1 d=1 t=11040
shu yu 	屬於	c=5 d=1 t=14112
shu zhi 	數值	c=1 d=1 t=4071
shu zi 	數字	c=1 d=1 t=13738
shu zi dian lu 	數字電路	c=4 d=1 t=8328
shu zu 	數組	c=11 d=1.00021 t=10794
shua 	刷	c=0 d=0.1 t=15907
shua dou yin 	刷抖音	c=1 d=1 t=15908
shua ge 	刷個	c=1 d=1 t=7492
shua ke 	刷課	c=2 d=1.95123 t=16222
shua xin 	刷新	c=2 d=0.100521 t=8548
shua xin ye mian 	刷新頁面	c=1 d=1 t=8549
shuai 	帥	c=1 d=1 t=14377
shuai 	甩	c=3 d=1.09753 t=12743
shuai le 	甩了	c=1 d=1 t=12892
shuang 	雙	c=0 d=0.1 t=15685
shuang bi 	双币	c=1 d=1 t=6859
shuang ka 	雙卡	c=1 d=1 t=6917
shuang ren 	雙人	c=1 d=1 t=10416
shuang yi liu 	雙一流	c=1 d=1 t=15686
shuang zhan 	雙棧	c=1 d=1 t=11732
shui 	水	c=2 d=0.1 t=15588
shui 	睡	c=0 d=0.12151 t=2688
shui 	稅	c=2 d=1.80252 t=9492
shui 	誰	c=3 d=1.08634 t=9728
shui ba 	水吧	c=1 d=1 t=9540
shui di 	水滴	c=0 d=0.1 t=9528
shui di chou 	水滴籌	c=1 d=1 t=9529
shui fei 	稅費	c=1 d=1 t=9446
shui jiao 	睡覺	c=3 d=1.07854 t=3326
shui jiao ba 	睡覺吧	c=0 d=0.1 t=10448
shui jiao le 	睡覺了	c=1 d=0.140816 t=2873
shui jiao le bei 	睡覺了唄	c=1 d=1 t=2874
shui jiao le me 	睡覺了麼	c=1 d=1 t=2236
shui la 	睡啦	c=1 d=1 t=2742
shui mo hua 	水墨畫	c=1 d=1 t=15525
shui neng 	誰能	c=2 d=1.97531 t=17055
shui pin 	水滨	c=1 d=1 t=5628
shui ping 	水平	c=3 d=1 t=12043
shui qing 	誰請	c=1 d=1 t=7442
shui sha 	睡啥	c=1 d=1 t=2592
shui xing 	睡醒	c=0 d=0.1 t=3298
shui yao 	誰要	c=1 d=1 t=10211
shui ye 	誰也	c=1 d=1 t=10332
shui ye bu 	誰也不	c=0 d=0.1 t=14196
shui yi qi 	睡一起	c=1 d=1 t=2239
shun bian 	順便	c=3 d=1 t=6419
shun cong 	順從	c=0 d=0.1 t=11396
shun cong zi ji 	順從自己	c=1 d=1 t=11397
shun qi zi ran 	順其自然	c=3 d=1.88692 t=17022
shun xu 	順序	c=9 d=1.9802 t=11596
shun xu cun chu jie gou 	順序存儲結構	c=1 d=1 t=4448
shuo 	說	c=33 d=0.640393 t=17154
shuo ba 	說吧	c=1 d=1 t=14702
shuo ban tian 	說半天	c=1 d=1 t=13917
shuo bu xing 	說不行	c=1 d=1 t=9836
shuo chu lai 	說出來	c=1 d=1 t=9807
shuo dao di 	說到底	c=1 d=1.01381 t=1421
shuo dao di ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding 	說到底頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂	c=1 d=1 t=1026
shuo de 	說的	c=9 d=1.01277 t=17125
shuo fen 	說分	c=1 d=1 t=10292
shuo fu 	說服	c=1 d=1 t=11395
shuo ge 	說個	c=1 d=1.01393 t=13905
shuo hua 	說話	c=3 d=1.29214 t=12504
shuo le 	說了	c=4 d=1.00258 t=12911
shuo le suan 	說了算	c=0 d=0.1 t=7636
shuo liang ju 	說兩句	c=1 d=1 t=12799
shuo ming 	說明	c=9 d=1 t=16747
shuo pao 	說跑	c=1 d=1 t=9834
shuo sha 	說啥	c=2 d=0.333732 t=12730
shuo shi 	碩士	c=1 d=1 t=5093
shuo shi hua 	說實話	c=3 d=1 t=14088
shuo wan 	說完	c=1 d=1 t=15898
shuo wan de 	说玩的	c=1 d=1 t=12622
shuo wan le 	說完了	c=1 d=1 t=5108
shuo wo 	說我	c=1 d=1 t=14561
shuo yao 	說要	c=1 d=1 t=13670
shuo yi ju 	說一句	c=1 d=1 t=835
shuo zao an 	說早安	c=1 d=1 t=860
si 	四	c=0 d=0.1 t=11889
si bu 	四部	c=0 d=0.1 t=4951
si bu fen 	四部分	c=1 d=1 t=4952
si dai 	絲帶	c=3 d=2.92168 t=13208
si ge 	四個	c=3 d=1.00002 t=10701
si ji 	司機	c=1 d=1 t=1813
si ji 	四級	c=5 d=1 t=15415
si ji 	死寂	c=1 d=1 t=16189
si ji 	死祭	c=1 d=1 t=16182
si jiao 	死覺	c=1 d=1 t=10887
si kao 	思考	c=0 d=0.1 t=11484
si kao yi xia 	思考一下	c=1 d=1 t=11485
si le 	死了	c=1 d=1 t=18191
si liao 	私聊	c=1 d=1 t=14932
si liu ji 	四六級	c=6 d=4.09239 t=8570
si lu 	思路	c=1 d=1.09805 t=17376
si lu le 	思路了	c=1 d=1 t=17373
si ni 	死你	c=0 d=0.1 t=5179
si ren 	四人	c=1 d=1.04516 t=10884
si ren qin shi 	四人寢室	c=1 d=1 t=10726
si shi 	四十	c=0 d=0.1 t=15701
si wang 	死亡	c=1 d=1 t=16201
si wang bi ji 	死亡筆記	c=1 d=1 t=15701
si wei 	思維	c=2 d=1.98511 t=6030
si wu 	四五	c=1 d=1 t=12086
si xiang 	思想	c=1 d=1 t=3933
si xiang zheng zhi 	思想政治	c=1 d=1 t=3384
si yue 	四月	c=1 d=1 t=11979
si zhang kuang 	四張狂	c=1 d=1 t=11890
song 	送	c=1 d=0.1 t=12343
song fen sheng ri li wu 	送份生日禮物	c=1 d=1 t=2363
song ni 	送你	c=1 d=1 t=2298
song shao guang 	宋韶光	c=1 d=1 t=2743
song zou le 	送走了	c=1 d=1 t=12558
sou 	搜	c=0 d=0.1 t=613
sou dao 	搜到	c=0 d=0.1 t=10765
sou dao le 	搜到了	c=1 d=1 t=10766
sou hu 	搜狐	c=2 d=1.99005 t=1381
sou suo 	搜索	c=1 d=1 t=1826
su 	宿	c=1 d=1 t=9496
su 	素	c=0 d=0.1 t=6148
su 	速	c=0 d=0.1 t=7900
su a fa 	素阿伐	c=1 d=1 t=6149
su cai 	素材	c=4 d=1.00001 t=6196
su cai wen jian 	素材文件	c=1 d=1 t=3155
su da shui 	蘇打水	c=1 d=1 t=1347
su nuo 	宿儺	c=1 d=1 t=6680
su qi 	俗氣	c=1 d=1 t=13181
su shu 	素數	c=1 d=1 t=13610
su yuan 	溯源	c=1 d=1 t=11695
suan 	算	c=3 d=1 t=16895
suan 	酸	c=1 d=1 t=18190
suan chu 	算出	c=0 d=0.1 t=14759
suan de 	酸的	c=1 d=1 t=18175
suan fa 	算法	c=32 d=1.00013 t=10669
suan fa de 	算法的	c=1 d=1 t=4799
suan fa miao shu 	算法描述	c=2 d=1.00059 t=6166
suan fa xiao lv 	算法效率	c=1 d=1 t=4706
suan fa zhong 	算法中	c=1 d=1 t=4518
suan fan 	算飯	c=1 d=1 t=7649
suan le 	算了	c=7 d=1 t=15091
suan ma 	痠麻	c=1 d=1 t=5785
suan shen me 	算什麼	c=1 d=1 t=313
suan shi 	算是	c=1 d=1.00019 t=4495
suan shi ba 	算是吧	c=1 d=1 t=3242
sui 	歲	c=1 d=1 t=11548
sui dao 	隧道	c=1 d=1 t=16380
sui ji 	隨機	c=6 d=1.19414 t=15070
sui ji cun chu 	隨機存儲	c=1 d=1 t=8954
sui ji ka pai 	隨機卡牌	c=1 d=1 t=651
sui ji shu 	隨機數	c=1 d=1.00462 t=4027
sui ji shu zu 	隨機數組	c=1 d=1 t=3413
sui ji ying bian 	隨機應變	c=1 d=1 t=16144
sui kou 	隨口	c=0 d=0.110127 t=16686
sui kou yi shuo 	隨口一說	c=1 d=1 t=16229
sui ran 	雖然	c=1 d=0.108372 t=14627
sui ran dang shi 	雖然當時	c=1 d=1 t=14036
sui ran hen sheng qi 	雖然很生氣	c=1 d=1 t=13939
sui ran shi 	雖然是	c=1 d=1 t=14570
sui ran wo 	雖然我	c=1 d=1 t=14628
sui shi 	隨時	c=1 d=1 t=14425
sui yi 	隨意	c=2 d=1 t=17219
sun huai 	損壞	c=3 d=1 t=5334
suo 	所	c=1 d=1.00737 t=6128
suo de 	所得	c=1 d=1 t=9494
suo fang 	縮放	c=1 d=1 t=3747
suo jiao huan 	所交換	c=1 d=1 t=5473
suo jin 	縮進	c=1 d=1 t=1373
suo lve tu 	縮略圖	c=3 d=2.7228 t=547
suo na 	嗩吶	c=0 d=0.1 t=15518
suo neng 	所能	c=1 d=1 t=12323
suo ran 	索然	c=1 d=1 t=14179
suo wei 	所謂	c=0 d=0.1 t=16911
suo xiao 	縮小	c=2 d=1 t=5350
suo xu yao 	所需要	c=1 d=1 t=4747
suo yi 	所以	c=13 d=1.25666 t=18140
suo yi hai yao 	所以還要	c=1 d=1 t=8589
suo yin 	索引	c=1 d=1 t=8737
suo you 	所有	c=14 d=1.84116 t=17393
suo you de 	所有的	c=1 d=1 t=4980
suo zai 	所在	c=1 d=1 t=5910
suo zhan yong 	所佔用	c=1 d=1 t=4695
suo zun xun 	所遵循	c=1 d=1 t=5460
ta 	他	c=15 d=0.1 t=18050
ta 	她	c=5 d=1.33287 t=17074
ta 	它	c=2 d=1 t=12303
ta ba 	他把	c=1 d=1 t=12890
ta ba ba 	他爸爸	c=1 d=1 t=12289
ta bao kuo 	它包括	c=1 d=1 t=4393
ta bian 	他變	c=1 d=1 t=14109
ta bu 	他不	c=2 d=1.00045 t=10280
ta bu ai le 	她不愛了	c=1 d=1 t=12772
ta da jian 	他搭建	c=1 d=1 t=2060
ta de 	他的	c=8 d=1.10753 t=16715
ta dui 	他對	c=1 d=1 t=12241
ta dui xiang 	她對象	c=1 d=1 t=12891
ta fang wen 	他訪問	c=1 d=1 t=2004
ta hai xing 	她還行	c=1 d=1 t=12678
ta he 	他和	c=2 d=1 t=9667
ta hou lai 	她後來	c=1 d=1 t=12852
ta hui 	他會	c=1 d=1 t=17462
ta jie jie 	他姐姐	c=1 d=1 t=1779
ta ke neng 	她可能	c=1 d=1 t=13173
ta ke yi 	他可以	c=1 d=1 t=14832
ta ma 	他媽	c=0 d=0.1 t=161
ta ma shang 	他媽上	c=1 d=1 t=162
ta mei gan jue le 	它沒感覺了	c=1 d=1 t=5098
ta men 	他們	c=11 d=1.06949 t=12914
ta men dou shi 	他們都是	c=1 d=1 t=12412
ta men dou shuo 	他們都說	c=1 d=1 t=12760
ta sha ye mei shuo 	她啥也沒說	c=1 d=1 t=12746
ta shang mian 	他上面	c=1 d=1 t=18051
ta shi 	他是	c=4 d=1 t=10922
ta shuo 	他說	c=1 d=1 t=8606
ta si le 	他死了	c=1 d=1 t=103
ta xiang 	他鄉	c=1 d=1 t=10304
